long,lat,region_id
-46.68791,-23.50293,1
-46.688,-23.50311,1
-46.68837,-23.5038,1
-46.6884,-23.50387,1
-46.68849,-23.50406,1
-46.68851,-23.50411,1
-46.68853,-23.50416,1
-46.6887,-23.50457,1
-46.68884,-23.50493,1
-46.68884,-23.50499,1
-46.68885,-23.50505,1
-46.68887,-23.50517,1
-46.6889,-23.50529,1
-46.68897,-23.50552,1
-46.68897,-23.50553,1
-46.68906,-23.50592,1
-46.68909,-23.50605,1
-46.68911,-23.50612,1
-46.68924,-23.5063,1
-46.6893,-23.50637,1
-46.68933,-23.50642,1
-46.68937,-23.50647,1
-46.68943,-23.50653,1
-46.68944,-23.50654,1
-46.68949,-23.50659,1
-46.68969,-23.50678,1
-46.68984,-23.50692,1
-46.69001,-23.50707,1
-46.69002,-23.50708,1
-46.69006,-23.50711,1
-46.69019,-23.50724,1
-46.69055,-23.50757,1
-46.69056,-23.50758,1
-46.69064,-23.50765,1
-46.6907,-23.50769,1
-46.69072,-23.5077,1
-46.69076,-23.50773,1
-46.69082,-23.50777,1
-46.69085,-23.50778,1
-46.69087,-23.50779,1
-46.69091,-23.50781,1
-46.69095,-23.50782,1
-46.69098,-23.50784,1
-46.69099,-23.50785,1
-46.691,-23.50786,1
-46.6915,-23.50775,1
-46.69171,-23.50771,1
-46.69207,-23.50763,1
-46.69218,-23.50761,1
-46.69242,-23.50756,1
-46.69253,-23.50753,1
-46.69256,-23.50752,1
-46.69267,-23.5075,1
-46.69299,-23.50743,1
-46.69305,-23.50741,1
-46.69351,-23.50731,1
-46.69361,-23.50729,1
-46.69367,-23.50727,1
-46.69392,-23.50722,1
-46.6941,-23.50718,1
-46.69423,-23.50716,1
-46.69431,-23.50714,1
-46.69461,-23.50711,1
-46.69507,-23.50705,1
-46.69526,-23.50703,1
-46.69541,-23.50702,1
-46.69544,-23.50701,1
-46.69549,-23.50701,1
-46.69564,-23.507,1
-46.69573,-23.507,1
-46.69591,-23.50699,1
-46.69597,-23.50699,1
-46.69612,-23.50699,1
-46.6963,-23.50699,1
-46.69648,-23.50699,1
-46.69661,-23.50699,1
-46.69669,-23.50699,1
-46.69679,-23.507,1
-46.69699,-23.50701,1
-46.69717,-23.50702,1
-46.69746,-23.50705,1
-46.69797,-23.5071,1
-46.69813,-23.50712,1
-46.69831,-23.50714,1
-46.69879,-23.50719,1
-46.69941,-23.50725,1
-46.69942,-23.50723,1
-46.69999,-23.5073,1
-46.70024,-23.50733,1
-46.70088,-23.50739,1
-46.7015,-23.50745,1
-46.70205,-23.50751,1
-46.70266,-23.50758,1
-46.7031,-23.50762,1
-46.7032,-23.50763,1
-46.70355,-23.50766,1
-46.70361,-23.50767,1
-46.70377,-23.50768,1
-46.70439,-23.50774,1
-46.70441,-23.50774,1
-46.70476,-23.50778,1
-46.70527,-23.50783,1
-46.70562,-23.50787,1
-46.70642,-23.50795,1
-46.70654,-23.50796,1
-46.70666,-23.50797,1
-46.70674,-23.50798,1
-46.7069,-23.50798,1
-46.70712,-23.50799,1
-46.70729,-23.50799,1
-46.70732,-23.50799,1
-46.70745,-23.508,1
-46.70823,-23.50796,1
-46.70847,-23.50794,1
-46.70868,-23.50792,1
-46.70907,-23.50788,1
-46.70942,-23.50785,1
-46.70948,-23.50784,1
-46.70992,-23.5078,1
-46.71045,-23.50774,1
-46.71065,-23.50772,1
-46.71118,-23.50766,1
-46.7121,-23.50758,1
-46.71275,-23.50752,1
-46.71335,-23.50747,1
-46.71361,-23.50746,1
-46.71398,-23.50744,1
-46.71406,-23.50744,1
-46.71439,-23.50741,1
-46.71495,-23.50736,1
-46.71543,-23.5073,1
-46.7155,-23.50728,1
-46.71568,-23.50725,1
-46.71585,-23.50722,1
-46.71602,-23.50721,1
-46.71615,-23.5072,1
-46.71632,-23.50719,1
-46.7164,-23.50718,1
-46.71669,-23.50719,1
-46.71688,-23.50722,1
-46.71712,-23.50724,1
-46.71739,-23.50726,1
-46.71791,-23.50734,1
-46.7185,-23.50744,1
-46.71854,-23.50745,1
-46.71868,-23.50749,1
-46.71908,-23.5076,1
-46.71929,-23.50766,1
-46.71953,-23.50776,1
-46.71973,-23.50784,1
-46.72012,-23.50802,1
-46.72047,-23.50819,1
-46.72073,-23.50836,1
-46.72075,-23.50838,1
-46.72091,-23.5085,1
-46.72095,-23.50857,1
-46.72098,-23.50861,1
-46.72102,-23.50866,1
-46.72124,-23.50885,1
-46.72132,-23.50893,1
-46.72139,-23.50899,1
-46.72158,-23.50918,1
-46.72171,-23.50934,1
-46.72184,-23.50951,1
-46.72189,-23.50959,1
-46.72196,-23.50968,1
-46.72206,-23.50981,1
-46.72214,-23.50993,1
-46.72223,-23.51006,1
-46.72225,-23.5101,1
-46.72233,-23.51021,1
-46.7224,-23.51033,1
-46.72242,-23.51036,1
-46.72246,-23.51043,1
-46.72277,-23.51092,1
-46.72294,-23.51116,1
-46.72296,-23.51122,1
-46.72297,-23.51125,1
-46.7231,-23.51142,1
-46.72328,-23.51164,1
-46.72347,-23.51183,1
-46.72361,-23.51196,1
-46.72368,-23.51202,1
-46.72381,-23.51215,1
-46.72448,-23.51272,1
-46.72481,-23.51293,1
-46.725,-23.51305,1
-46.72519,-23.51316,1
-46.7253,-23.51322,1
-46.72544,-23.5133,1
-46.7255,-23.51333,1
-46.72605,-23.51364,1
-46.72636,-23.51381,1
-46.72656,-23.51393,1
-46.72661,-23.51396,1
-46.7267,-23.514,1
-46.72701,-23.51418,1
-46.7271,-23.51423,1
-46.72748,-23.51444,1
-46.72763,-23.51451,1
-46.72774,-23.51455,1
-46.72821,-23.51481,1
-46.72844,-23.51494,1
-46.72893,-23.51521,1
-46.72906,-23.51527,1
-46.72947,-23.5155,1
-46.72957,-23.51554,1
-46.73005,-23.5158,1
-46.73024,-23.51591,1
-46.73033,-23.51597,1
-46.73067,-23.51614,1
-46.73069,-23.51616,1
-46.73078,-23.51621,1
-46.73089,-23.51628,1
-46.7309,-23.51628,1
-46.73098,-23.51633,1
-46.73109,-23.51637,1
-46.73126,-23.51645,1
-46.73132,-23.51648,1
-46.73149,-23.51656,1
-46.73156,-23.51659,1
-46.7317,-23.51665,1
-46.7318,-23.51669,1
-46.73189,-23.51672,1
-46.73198,-23.51675,1
-46.73209,-23.51678,1
-46.73222,-23.51682,1
-46.73231,-23.51684,1
-46.73238,-23.51686,1
-46.73244,-23.51688,1
-46.73262,-23.51691,1
-46.73275,-23.51694,1
-46.73282,-23.51695,1
-46.73289,-23.51696,1
-46.73301,-23.51698,1
-46.7331,-23.51699,1
-46.73318,-23.51699,1
-46.73334,-23.517,1
-46.73339,-23.517,1
-46.73347,-23.51701,1
-46.73358,-23.51701,1
-46.73368,-23.51701,1
-46.73418,-23.517,1
-46.73436,-23.51699,1
-46.73446,-23.51702,1
-46.73451,-23.51702,1
-46.73455,-23.51703,1
-46.73461,-23.51703,1
-46.73467,-23.51704,1
-46.73476,-23.51704,1
-46.73483,-23.51704,1
-46.73491,-23.51705,1
-46.73499,-23.51706,1
-46.7353,-23.51711,1
-46.73545,-23.51713,1
-46.73554,-23.51713,1
-46.73562,-23.51714,1
