stop,lat,long,region_id,list_index,video_index,video_date
Av. Goiás - São Caetano do Sul/SP,-23.6164858,-46.5687227,12,140,hiMCN-r95YU,2019-05-11
Term. de Santo André/SP (Leste),-23.65109,-46.52643,10,137,zy3PtGVgTXk,2019-04-03
Term. Municipal de Mauá/SP,-23.6692154,-46.4595,14,135,4YDw1KFo89c,2019-03-30
Estação Guaianazes - Term. Norte,-23.54171,-46.41689,4,132,4uw7jQ9OCXA,2019-03-22
Estação São Caetano do Sul/SP,-23.61051,-46.5703,12,131,urMX4pY9OU8,2019-03-18
Av. Senador Queirós,-23.53932,-46.63403,9,129,oOsQ8vJCVp8,2019-03-14
Estação Guaianazes - Term. Sul,-23.54291,-46.41603,3,128,-KrKWhd40AY,2019-03-10
Estação Tatuapé - Term. Sul,-23.5411306,-46.576691,3,107,8BulJTlGJrY,2018-11-24
Metrô Conceição,-23.63483,-46.64103,6,99,d4Y5BbGPGIU,2018-07-29
Largo da Batata,-23.56734,-46.69376,9,98,KKqEul40u-g,2018-07-17
Av. Rangel Pestana/Bitencourt Rodrigues,-23.54977,-46.63078,9,95,qJ54Y3PsD-E,2020-02-25
Jabaquara (Metra),-23.64749,-46.64016,6,94,a4bAHcmleMo,2018-02-08
Parque do Ibirapuera,-23.581103,-46.656564,9,93,F6HCEKGQNqY,2018-01-16
Estação Paulista,-23.55557,-46.66280,9,92,UE0FUTynfRU,2018-01-14
Av. Vereador José Diniz,-23.63441,-46.69118,6,91,0iHtpnipIfM,2018-01-11
Estação Paraíso,-23.5758652,-46.6414783,9,90,rJiWYuBzM94,2018-01-09
Shopping Center Norte,-23.514248,-46.616021,2,89,ggZTazJrInQ,2018-01-02
R. Boa Vista,-23.5486417,-46.6330627,9,88,bSdOjrS3an8,2017-12-31
Praça do Correio,,9,85,sed5gF7bBUk,2017-12-24

Corredor Vereador José Diniz,,7,11,F3CxnuAKzW0,2015-02-10
Av. Brigadeiro/Paulista,-23.56756,-46.64888,9,10,9yLlfirO9rE,2015-08-02
Jardim Celeste,-23.66182,-46.61821,5,9,M8HyE-9ZDLQ,2015-07-28
Av. Sapopemba,-23.61494,-46.50153,5,8,URjIJaFYaGQ,2015-07-26
Term. Campo Limpo,-23.63181,-46.77193,8,9,_3rY6TRlEnY,2015-07-24
Linha 5110 no Horário de Pico,,5,6,Y3eguL--MO8,2015-06-09
Garagem da Ambiental Transportes,-23.55355,-46.55805,4,5,NkKK3v7Fic0,2015-05-28
Garagem da Metra,-23.69353,-46.57281,11,4,vjSkviYrVzE,2015-05-24
Term. Bandeira,-23.549333,-46.640016,9,3,dbLu3kOgdxQ,2015-05-03
Av. Ibirapuera,-23.6092489,-46.6675372,9,2,UJsCeVEoGvI,2015-02-03
Term. São Mateus,-23.61370,-46.47637,5,1,DR1mAQ10F6k,2015-01-15
